name,team,position,signed,extended,age at signing/extension,offseason_of_new_contract,new_contract_AAV,games_played,minutes,pts,fgm,fga,fgperc,3pm,3pa,3pperc,ftm,fta,ftperc,oreb,dreb,reb,ast,tov,stl,blk,pf,tsperc,usage,bs_rap_o,bs_rap_d,bs_rap_t,onoff_rap_o,onoff_rap_d,onoff_rap_t,ovr_rap_o,ovr_rap_d,ovr_rap_t,rap_war
Jamal Murray,Denver Nuggets,PG,0,1,21,2019,31650600,75,32.6,18.2,6.8,15.6,43.7,2,5.5,36.7,2.5,3,84.8,0.9,3.4,4.2,4.8,2.1,0.9,0.4,2,53.8,24.1,1.1,0.6,1.7,3.4,-2,1.4,1.6,0.1,1.7,5.5
Michael Porter Jr,Denver Nuggets,SF,0,1,22,2021,34510000,61,31.3,19,7.3,13.4,54.2,2.8,6.3,44.5,1.7,2.2,79.1,1.5,5.8,7.3,1.1,1.3,0.7,0.9,2.1,66.3,21.4,2,-0.3,1.7,5.7,-1.4,4.3,2.8,-0.6,2.2,4.8
Aaron Gordon,Denver Nuggets,PF,0,1,25,2021,21650000,50,27.7,12.4,4.6,10,46.3,1.2,3.5,33.5,1.9,3,65.1,1.5,4.1,5.7,3.2,1.9,0.7,0.7,1.8,54.7,20.4,-0.9,1.1,0.2,1.3,1,2.3,-0.4,1.1,-0.7,2.4
Will Barton,Denver Nuggets,SF,1,0,30,2021,15000000,56,31,12.7,4.6,10.9,42.6,1.8,4.6,38.1,1.7,2.2,78.5,0.7,3.3,4,3.2,1.7,0.9,0.4,1.7,53.8,18.7,-0.8,-1.7,-2.5,2.9,-2.2,-0.7,-0.1,-1.9,-2,0.7
Monte Morris,Denver Nuggets,PG,0,1,24,2020,9258332,58,33,15.1,5.7,12.7,45,1.9,5,37.5,1.8,2.3,76.7,1.3,5,6.3,3.7,1.5,1.1,0.5,2.1,54.9,19.7,1,-2.4,-1.4,0.1,-1.1,-1,0.9,-2.3,-1.4,1.1
JaMychal Green,Denver Nuggets,PF,1,0,30,2021,8200000,58,19.3,8.1,3,6.4,46.3,1.4,3.4,39.9,0.8,1,80.7,1.5,3.3,4.8,0.9,0.9,0.4,0.4,2.5,59,17.2,0.4,-1.8,-1.4,-2,2,0,-0.1,-1.1,-1.2,0.9
Jeff Green,Denver Nuggets,PF,1,0,34,2021,4500000,68,27,11,3.8,7.8,49.2,1.5,3.7,41.2,1.8,2.4,77.6,0.5,3.4,3.9,1.6,0.8,0.5,0.4,1.8,62.4,15.4,-0.7,-0.7,-1.4,-0.4,-1.1,-1.5,-0.7,-0.8,-1.6,1.1
Bryn Forbes,Denver Nuggets,SG,1,0,28,2021,4500000,70,19.3,10,3.6,7.6,47.3,2.2,4.9,45.2,0.7,0.9,77,0.2,1.4,1.6,0.6,0.6,0.3,0,1.1,63.1,18,0.8,-3.9,-3,0.2,-1.8,1.6,0.7,-3.7,-3,-0.2
Austin Rivers,Denver Nuggets,PG,1,0,29,2021,2401537,36,23.5,7.9,2.9,6.8,42.4,1.5,4.1,36.9,0.6,0.9,71,0.2,2.1,2.3,2.3,1,0.8,0.1,1.8,55.1,15,-1.3,-0.3,-1.6,1.1,0.4,-0.6,-1.3,-0.2,-1.5,0.5
Bruce Brown Jr,Denver Nuggets,SG,1,0,25,2022,6640975,72,24.6,9,3.6,7,50.6,0.5,1.3,40.4,1.3,1.8,75.8,1.4,3.4,4.8,2.1,0.8,1.1,0.7,2.4,57.5,14.6,0.5,0.6,1.1,-0.3,-0.9,-1.2,0.3,0.3,0.7,3.3
Vlatko Cancar,Denver Nuggets,SF,1,0,25,2022,2271775,15,11.8,4.1,1.5,2.7,56.1,0.5,0.8,58.3,0.6,0.9,64.3,0.5,1.5,2.1,1.1,0.6,0.1,0.2,1.2,65.7,13.1,-2.7,-1.3,-4,-3.3,4.6,1.3,-3,-0.1,-3.1,0
Davon Reed,Denver Nuggets,SG,1,0,27,2022,1984359,48,13.9,4.4,1.7,3.4,50.3,0.8,1.8,43,0.2,0.3,66.7,0.3,2,2.3,1.1,0.3,0.5,0.2,1.3,62.4,11.7,0.2,0.1,0.3,-2.1,0.1,-2,-0.3,0.1,-0.2,0.9
DeAndre Jordan,Denver Nuggets,C,1,0,33,2022,2905851,48,13,4.3,1.9,3,64.3,0,0,0,0.5,0.8,55,1.7,3.8,5.5,0.4,0.8,0.3,0.7,1.5,64.1,13.2,-3.2,-1.8,-5,-4.9,-2.9,-7.8,-3.8,-2.1,-5.9,-1.1
Jeremi Grant,Detroit Pistons,PF,1,0,25,2020,20002500,71,26.6,12,4.3,8.9,47.8,1.4,3.5,38.9,2.1,2.8,75,0.8,2.7,3.5,1.2,0.9,0.7,0.8,2.2,59.1,17.7,-0.2,-1.1,-1.4,-0.7,-4.9,-5.6,-0.4,-2,-2.4,0.4
Kelly Olynyk,Detroit Pistons,C,1,0,29,2021,12398374,70,28.5,13.5,4.8,10,48.4,1.8,5.3,34.2,2.1,2.5,82.9,1.2,5.7,7,2.9,1.8,1.1,0.6,3,61,19,0.4,0.5,-0.1,0.8,-1.4,-0.7,0.5,-0.7,-0.2,2.6
Hamidou Diallo,Detroit Pistons,SF,1,0,22,2021,5200000,52,23.6,11.6,4.3,9,47.7,0.5,1.6,34.1,2.5,3.8,64,1.1,4.1,5.2,1.9,1.5,0.8,0.5,2.6,54.1,21.8,-0.9,-0.1,-1,-1.6,0.8,-0.8,-1,0.1,-0.9,1.1
Cory Joseph,Detroit Pistons,PG,1,0,29,2021,5032500,63,23,8.2,3.2,6.8,46.9,0.7,2.1,34.1,1.1,1.4,81.8,0.6,2,2.5,3.4,1.3,1,0.3,2.2,55.6,15.9,-0.9,0.9,0.1,-1.4,-2.3,-3.7,-1,0.4,-0.6,1.6
Frank Jackson,Detroit Pistons,PG,1,0,22,2021,3075000,40,18.5,9.8,3.4,7.3,45.7,1.5,3.8,40.7,1.5,1.9,81.3,0.4,1.8,2.2,0.9,0.9,0.4,0,1.3,59.8,20.7,0.1,-1.7,-1.7,-0.6,2.2,1.5,0,-1,-1,0.6
Carsen Edwards,Detroit Pistons,PG,1,0,22,2021,1815677,31,8.9,4,1.5,3.6,42.3,0.6,2,28.6,0.4,0.4,84.6,0.1,0.7,0.8,0.5,0.2,0.2,0,0.8,52.7,18.7,-0.7,-2.6,3.2,-3.2,-0.9,-4.1,-1.2,-2.4,-3.6,-0.1
Saben Lee,Detroit Pistons,PG,1,0,21,2021,1714613,48,16.3,5.6,2.1,4.4,47.1,0.2,0.5,34.8,1.3,1.9,68.5,0.4,1.6,2,3.6,1.1,0.7,0.3,1.6,53.6,17.1,-1.6,-2.1,-3.8,-1.5,-3,-4.5,-1.7,-2.4,-4.1,-0.5
Rodney McGruder,Detroit Pistons,SG,1,0,30,2021,1939350,16,12.1,5.7,2.3,4.4,52.9,0.7,1.5,45.8,0.4,0.5,75,0.5,0.9,1.4,1,0.4,0.5,0.1,0.8,61.9,17.9,2.2,-1.3,1,5,-2.7,2.3,3,-1.6,1.4,0.4
Marvin Bagley III,Detroit Pistons,PF,1,0,23,2022,12500000,48,23.9,11.3,4.7,9.3,50.4,0.5,2,23.7,1.4,2.1,66.3,2.2,4.9,7,0.8,0.8,0.5,0.4,1.9,55.1,19.1,-1.4,0,-1.4,1.5,-1,0.5,-0.9,-0.2,1,1
Kevin Knox,Detroit Pistons,SF,1,0,22,2022,3000000,30,7.4,3.1,1,2.8,36.5,0.5,1.8,27.8,0.5,0.7,72.7,0.5,1,1.5,0.3,0.2,0.1,0.1,0.6,49.1,18.7,-0.6,-5.9,-6.5,-5.9,-3.3,-9.2,-1.8,-5.7,-7.4,-0.5
Stephen Curry,Golden State Warriors,PG,0,1,32,2021,53838416,63,34.2,32,10.4,21.7,48.2,5.3,12.7,42.1,5.7,6.3,91.6,0.5,5,5.5,5.8,3.4,1.2,0.1,1.9,65.5,33.1,8.9,-2.4,6.5,5.5,0.5,6,8.7,-1.9,6.8,10.8
Klay Thompson,Golden State Warriors,SG,0,1,28,2019,37980720,78,34,21.5,8.4,18,46.7,3.1,7.7,40.2,1.7,2,81.6,0.5,3.4,3.8,2.4,1.5,1.1,0.6,2,57.1,25.4,1,-0.3,0.7,0.9,-2.7,-1.8,0.9,-0.8,0.1,3.9
Andrew Wiggins,Golden State Warriors,SF,0,1,22,2017,29542010,82,37.2,23.6,8.6,19.1,45.2,1.3,3.5,35.6,5,6.6,76,1.2,2.8,4,2.3,2.3,1,0.4,2.2,53.4,28.6,0.8,-0.7,0.1,4.1,-1,3.1,1.4,-0.8,0.7,5.4
Draymond Green,Golden State Warriors,PF,0,1,28,2019,24916591,66,31.3,7.4,2.8,6.4,44.5,0.7,2.5,28.5,1,1.4,69.2,0.9,6.4,7.3,6.9,2.6,1.4,1.1,3,52.6,12.8,-0.8,3.4,2.6,2.2,3.4,5.6,-0.3,3.5,3.3,6.4
Kevon Looney,Golden State Warriors,C,1,0,23,2019,4821429,80,18.5,6.3,2.7,4.3,62.5,0,0.1,10,0.8,1.3,61.9,2.4,2.8,5.2,1.5,0.6,0.6,0.7,2.6,63.6,12.2,-0.1,2.6,2.5,2.3,2.8,5.1,0.4,2.7,3.1,4.4
Andre Iguodala,Golden State Warriors,SF,1,0,38,2021,2641691,63,21.3,4.4,1.5,3.9,38.3,1,2.9,33,0.4,0.6,65.8,0.6,2.9,3.5,2.3,1.1,0.9,0.6,1.4,51.9,10.9,-2.2,1.1,-1.1,-2.6,1.1,-1.4,-2.4,1.2,-1.2,1
Otto Porter Jr.,Golden State Warriors,SF,1,0,28,2021,2389641,28,21.7,9.7,3.5,8.1,43.2,1.4,3.7,37.5,1.3,1.5,85.7,1,4.4,5.4,2,0.9,0.6,0.1,1.5,55.2,18.4,-0.1,-1.6,-1.6,-2.5,1.9,-0.7,-0.6,-0.9,-1.5,0.4
Nemanja Bjelica,Golden State Warriors,PF,1,0,33,2021,2089448,37,16.1,6.5,2.4,5.3,45.4,0.7,2.3,31.8,1,1.4,72.5,0.8,2.6,3.4,1.9,0.9,0.4,0.1,1.8,55.4,17.9,-0.8,-2.9,-3.7,-1.1,-3.1,-4.1,-0.9,-3,-3.9,-0.4
Gary Payton II,Golden State Warriors,PG,1,0,29,2021,1939350,10,4,2.5,1,1.3,76.9,0.2,0.4,50,0.3,0.4,75,0.2,0.9,1.1,0.1,0.1,0.6,0.1,0.8,84.7,15.3,4.9,5.4,10.2,-1.3,1.1,-0.2,3.9,4.8,8.6,0.2
Damion Lee,Golden State Warriors,SG,1,0,29,2019,1505328,32,11.7,4.9,1.8,4,44.1,0.8,2.1,39.7,0.6,0.7,86.4,0.3,1.8,2,0.4,0.3,0.4,0,0.9,57.8,16.4,0.4,-0.7,-0.3,6,-2,-8,-0.9,-1,-2,0.1
Juan Toscano-Anderson,Golden State Warriors,PF,1,0,28,2020,1029944,13,20.9,5.3,2.2,4.8,46,0.6,1.8,34.8,0.2,0.4,60,0.7,3.3,4,2,1.2,1,0.4,2.3,52.9,12.5,-2.4,0.9,-1.6,-2.5,-1.5,-3.9,-2.5,0.5,-2,0.1
Donte DiVincenzo,Golden State Warriors,SG,1,0,25,2022,4612500,42,23.9,9,2.8,8,35.1,1.8,5.2,33.9,1.7,2,84.3,1,3.1,4,2.8,1.7,1.1,0.2,1.6,51,18.7,-1.7,1.2,-0.5,-2.5,0.8,-1.7,-2,1.2,-0.8,1
Jordan Poole,Golden State Warriors,SG,0,1,23,2022,32000000,76,30,18.5,6.2,13.9,44.8,2.8,7.6,36.4,3.2,3.5,92.5,0.4,3,3.4,4,2.5,0.8,0.3,2.7,59.8,25.2,2.3,-1.2,1.1,0.1,0,0.1,2,-1.1,0.9,5.5
John Wall,Houston Rockets,PG,0,1,26,2017,42782880,40,32.2,20.6,7.3,18.2,40.4,2,6.2,31.7,4,5.3,74.9,0.4,2.8,3.2,6.9,3.5,1.1,0.8,1.2,51,24.2,3.9,-1,3.2,4.8,-0.4,4.4,4.4,-0.9,3.6,9.3
Eric Gordon,Houston Rockets,SG,0,1,30,2019,18893589,68,31.7,16.2,5.6,13.8,40.9,3.2,8.8,36,1.8,2.2,78.3,0.3,1.9,2.2,1.9,1.3,0.6,0.4,2.1,54.9,21.5,0.1,-2.5,-2.4,3.8,1,4.8,0.8,-1.9,-1.1,1.8
Christian Wood,Houston Rockets,C,1,0,24,2020,13666667,62,21.4,13.1,4.6,8.2,56.7,0.9,2.3,38.6,2.9,3.9,74.4,1.7,4.6,6.3,1,1.4,0.5,0.9,1.6,65.9,22.3,1.4,2.5,3.9,2.8,2.2,5.1,1.8,2.7,4.4,4.9
David Nwaba,Houston Rockets,SF,1,0,28,2021,5000000,30,22.6,9.2,3.5,7.3,48.6,0.6,2.1,27,1.6,2.3,69.1,1.3,2.6,3.9,1,0.6,1,0.7,2,55.7,16.3,-0.3,3.5,3.2,-0.8,2.4,1.6,-0.4,3.6,3.2,2.1
Garrison Matthews,Houston Rockets,SG,1,0,24,2021,2057563,64,16.2,5.5,1.5,3.7,40.9,1.2,3.1,38.4,1.3,1.5,88.4,0.3,1.1,1.4,0.4,0.2,0.5,0.1,1.7,63.5,11.1,0.8,1.2,2.1,-2,-2,-4,0.3,0.7,0.9,2
Dennis Schroder,Houston Rockets,PG,1,0,28,2021,5890000,61,32.1,15.4,5.4,12.5,43.7,1.2,3.5,33.5,3.4,4,84.8,0.5,3,3.5,5.8,2.7,1.1,0.2,2.6,54.3,22.7,-0.6,0.4,-0.2,2.5,-2.3,0.2,0.1,-0.2,-0.2,2.6
Jae'Sean Tate,Houston Rockets,SF,1,0,26,2022,6876811,78,26.4,11.8,4.7,9.3,49.8,0.8,2.6,31.2,1.7,2.4,70.7,1.7,3.7,5.4,2.8,1.8,0.9,0.5,3.7,56.7,19.4,-1.1,0.6,-0.5,-2,0.8,-1.2,-1.3,0.8,-0.5,2.3
Bruno Fernando,Houston Rockets,PF,1,0,24,2022,2717391,30,5.1,2.9,1.2,1.8,65.5,0,0.1,50,0.5,0.8,62.5,0.6,1.2,1.8,0.2,0.5,0,0.4,0.8,67.1,19.7,-1.7,2.2,0.5,-7.4,-0.7,-8.1,-2.9,1.8,-1.2,0.1
Kevin Porter Jr,Houston Rockets,SG,0,1,22,2022,15860000,61,31.3,15.6,5.5,13.2,41.5,2.5,6.8,37.5,2,3.2,64.2,0.7,3.7,4.4,6.2,3.1,1.1,0.4,2.6,53.1,23.9,-0.1,-0.5,-0.6,0.9,1.2,2.1,0.2,-0.1,0.1,2.8
Malcolm Brogdon,Indiana Pacers,PG,1,0,28,2021,22500000,56,34.5,21.2,7.9,17.5,45.3,2.6,6.7,38.8,2.7,3.2,86.4,1,4.2,5.3,5.9,2.1,0.9,0.3,2,56.1,25.7,2,-2.1,0,-0.9,2.1,1.2,1.5,-1.3,0.2,2.9
Buddy Hield,Indiana Pacers,SG,0,1,26,2019,23500000,82,31.9,20.7,7.6,16.6,45.8,3.4,7.9,42.7,2.1,2.4,88.6,1.3,3.7,5,2.5,1.8,0.7,0.4,2.5,58.7,24.3,2.5,-0.7,1.8,0.3,-1.1,-0.8,2.2,-0.8,1.4,5.5
Myles Turner,Indiana Pacers,C,0,1,21,2018,18000000,65,28.2,12.7,4.7,9.8,47.9,0.9,2.4,35.7,2.5,3.2,77.7,1.4,5,6.4,1.3,1.5,0.6,1.8,2.9,56.7,19.9,-2,-0.5,-2.5,-0.7,0.3,-0.4,-1.8,-0.4,-2.2,0.5
TJ McConnell,Indiana Pacers,PG,1,0,28,2021,8400000,69,26,8.6,4,7.1,55.9,0.2,0.7,31.3,0.5,0.7,68.8,0.8,2.9,3.7,6.6,2,1.9,0.3,1.6,58.3,14.9,1.1,1.2,2.3,2.1,-0.4,1.8,1.4,0.9,2.3,4.7
Oshae Brissett,Indiana Pacers,SF,1,0,22,2021,1800000,21,24.7,10.9,3.5,7.2,48.3,1.6,3.7,42.3,2.4,3.1,76.9,1.4,4.1,5.5,0.9,0.5,0.9,1,1.5,63.8,14.9,0.9,0.2,1.2,3.6,-2,1.5,1.6,-0.2,1.3,1.1
Duane Washington Jr,Indiana Pacers,PG,1,0,21,2022,1700000,48,20.2,9.9,3.6,8.9,40.5,1.7,4.5,37.7,1,1.3,75.4,0.1,1.6,1.7,1.8,1.2,0.5,0.1,1.4,52.1,21.4,-0.7,-1.6,-2.3,-1.8,-2.6,-4.3,-1,-1.9,-2.8,0
Ricky Rubio,Indiana Pacers,PG,1,0,29,2019,17000000,68,27.9,12.7,4.3,10.7,40.4,1.2,3.7,31.1,2.9,3.4,85.5,0.5,3.1,3.6,6.1,2.6,1.3,0.1,2.6,52,22.1,-0.4,1.3,0.9,1.3,1.1,2.4,-0.1,1.2,1.2,3.8
TJ Warren,Indiana Pacers,PF,0,1,25,2018,11750000,65,33,19.6,8.1,16.4,49.8,0.3,1.4,22.2,3,3.9,75.7,1.9,3.2,5.1,1.3,1.3,1,0.6,2.3,54.1,24.3,-0.3,-0.2,-0.5,1.2,-1.8,-0.6,0.1,-0.5,-0.4,2.6
Jalen Smith,Indiana Pacers,PF,1,0,22,2022,5043773,51,18.1,9.2,3.5,6.9,50.3,0.8,2.4,32.8,1.5,2,76.5,2,4,6,0.5,0.8,0.3,0.8,1.9,59.5,19.3,-0.5,-1,-1.5,-0.3,1.7,1.3,-0.5,-0.5,-1,0.8
Paul George,Los Angeles Clippers,SF,0,1,29,2020,44066367,48,29.6,21.5,7.1,16.3,43.9,3.3,7.9,41.2,4,4.5,87.6,0.5,5.2,5.7,3.9,2.6,1.4,0.4,2.4,58.9,29.2,4.5,2.9,7.4,3.7,0.3,4,4.6,2.4,7,7.1
Kawhi Leonard,Los Angeles Clippers,SF,1,0,29,2021,44066288,52,34.1,24.8,8.9,17.5,51.2,1.9,4.9,39.8,5,5.7,88.5,1.1,5.4,6.5,5.2,2,1.6,0.4,1.6,62.2,28.2,5.7,1.4,7.2,7.4,1.9,9.3,6.3,1.6,7.9,9.6
Norman Powell,Los Angeles Clippers,SG,1,0,27,2021,18000000,69,32,18.6,6.3,13.3,47.7,2.5,6,41.1,3.4,3.9,87.1,0.6,2.5,3.1,1.9,1.7,1.2,0.3,2.3,61.8,22.1,1.3,-0.8,0.5,0.1,-0.2,-0.2,1.1,-0.7,0.4,3.6
Marcus Morris Sr,Los Angeles Clippers,PF,1,0,30,2020,16000000,62,31.2,16.7,5.7,13.1,43.8,2.3,5.6,40.8,2.9,3.5,82.3,1,4.1,5,1.4,1.6,0.8,0.5,2.9,57,21.6,0,-0.3,-0.4,2.7,0.6,3.3,0.6,-0.2,0.4,3.1
Luke Kennard,Los Angeles Clippers,SG,0,1,23,2020,14000000,28,32.9,15.8,5.4,12.2,44.2,2.6,6.5,39.9,2.4,2.7,89.3,0.3,3.2,3.5,4.1,1.5,0.4,0.2,2.3,58.9,19.3,2.5,-3.2,-0.7,1.3,-1.4,-0.1,2.4,-3,-0.6,1
Robert Covington,Los Angeles Clippers,PF,0,1,31,2022,12000000,71,27.3,8.5,2.9,7,42,1.8,4.8,37.8,0.8,1,84.1,0.8,4.7,5.5,1.3,1.1,1.5,1.3,2.7,57.2,13.4,-1.1,2.6,1.6,0.8,1.7,2.5,-0.7,2.6,1.9,4.6
Reggie Jackson,Los Angeles Clippers,PG,1,0,30,2021,10799880,67,23,10.7,3.9,8.7,45,1.8,4.2,43.3,1,1.2,81.7,0.4,2.5,2.9,3.1,1.1,0.6,0.1,1.9,57.6,19.5,1.2,-0.5,0.7,2.8,0.1,2.9,1.6,-0.4,1.1,3.1
Ivica Zubac,Los Angeles Clippers,C,1,0,21,2019,7000000,59,17.6,8.9,3.6,6.4,55.9,0,0,0,1.7,2.1,80.2,1.9,4.2,6.1,1.1,1.2,0.2,0.9,2.3,60.4,19.9,-2.4,1.2,-1.1,-1.4,2.9,1.5,-2.3,1.6,-0.7,1.1
Nicolas Batum,Los Angeles Clippers,SF,1,0,32,2021,3249280,67,27.4,8.1,2.9,6.1,46.4,1.6,4.1,40.4,0.7,0.9,82.8,0.7,4,4.7,2.2,0.8,1,0.6,1.5,61.7,11.6,-0.2,2.5,2.3,1.1,2,3.1,0,2.5,2.6,5
Terance Mann,Los Angeles Clippers,SG,0,1,24,2021,11000000,67,18.9,7,2.7,5.2,50.9,0.6,1.4,41.8,1.2,1.4,83,0.8,2.8,3.6,1.6,0.6,0.4,0.2,1.9,60.3,14.4,0.3,-0.4,0,-1.5,0.6,-0.9,-0.1,-0.2,-0.3,1.6
Rodney Hood,Los Angeles Clippers,SF,1,0,29,2021,2239544,55,17.1,4.5,1.7,4.7,36.2,0.6,2.1,30.1,0.4,0.5,85.7,0.4,1.5,1.9,1,0.7,0.4,0.1,1.3,45.2,13.9,-3.7,-1.3,4.9,-4.5,-0.9,-5.3,-4.1,-1.2,-5.3,-1.2
Isaiah Hartenstein,Los Angeles Clippers,C,1,0,23,2021,1729217,46,12.1,5.1,2,3.7,55,0,0.1,33.3,1,1.5,64.8,1.4,2.5,3.9,1.2,1,0.4,0.8,2.3,58.3,18.7,-2.9,4,1,-0.2,1.3,1,-2.5,3.6,1.1,1.1
Amir Coffey,Los Angeles Clippers,SG,1,0,25,2022,3666667,69,22.7,9,3.1,6.8,45.3,1.4,3.7,37.8,1.5,1.7,86.3,0.4,2.5,2.9,1.8,0.7,0.6,0.2,1.3,59.8,15.4,0.2,-0.6,-0.4,0.3,-1.6,-1.3,0.3,-0.9,-0.6,1.7
Russell Westbrook,Los Angeles Lakers,PG,0,1,28,2017,41358814,52,28.7,15.9,5.8,14,41.7,1.2,4.1,28.7,3,4.6,65.5,1.1,5.1,6.2,7.5,3.5,1.6,0.4,2.3,51,29,7.6,-1.5,6.1,6.2,-0.1,6.1,7.8,-1.3,6.5,13.8
LeBron James,Los Angeles Lakers,SF,0,1,35,2020,42827766,67,34.6,25.3,9.6,19.4,49.3,2.2,6.3,34.8,3.9,5.7,69.3,1,6.9,7.8,10.2,3.9,1.2,0.5,1.8,57.7,30.8,6.2,-0.4,5.8,5,5.5,10.5,6.3,0.7,7.1,11.6
Anthony Davis,Los Angeles Lakers,PF,1,0,26,2020,37980720,62,34.4,26.1,8.9,17.7,50.3,1.2,3.5,33,7.2,8.5,84.6,2.3,7,9.3,3.2,2.5,1.5,2.3,2.5,61,28.4,2.9,4.4,7.3,-2.4,0.3,-2.2,2,3.7,5.7,9.3
Talen Horton-Tucker,Los Angeles Lakers,SG,0,1,20,2021,10260000,65,20.1,9,3.4,7.5,45.8,0.6,2,28.2,1.5,2,77.5,0.4,2.2,2.6,2.8,1.6,1,0.3,2,53.6,21,-1,1,0.1,-2.5,1.6,-0.9,-1.3,1.1,-0.2,1.7
Kendrick Nunn,Los Angeles Lakers,PG,1,0,25,2021,5125000,56,29.5,14.6,5.7,11.8,48.5,2.2,5.7,38.1,1,1.1,93.3,0.4,2.8,3.2,2.6,1.4,0.9,0.3,1.9,59.6,20.5,0.2,-1,-0.8,1.8,2.5,-0.7,0.6,-1.4,-0.8,1.6
Carmelo Anthony,Los Angeles Lakers,PF,1,0,37,2021,2641691,69,24.5,13.4,4.7,11.3,42.1,1.9,4.7,40.9,2,2.2,89,0.5,2.6,3.1,1.5,0.9,0.7,0.6,2.1,54.7,22.8,0.8,-2.3,-1.5,-1.4,-3.6,-5,0.3,-2.7,-2.4,0.3
Avery Bradley,Los Angeles Lakers,SG,1,0,31,2021,2641691,27,22.3,6.4,2.4,6.3,37.4,1.2,3.7,32.7,0.4,0.6,80,0.3,1.8,2.1,1.7,1,0.8,0.1,2,48.7,14.6,-3.9,-2,-5.8,-1.7,-1.7,-3.4,-3.6,-2,-5.6,-0.9
Wayne Ellington,Los Angeles Lakers,SG,1,0,34,2021,2641691,46,22,9.6,3.2,7.3,44.1,2.5,6,42.2,0.6,0.8,80,0.3,1.6,1.8,1.5,0.7,0.4,0.2,1.3,62.5,16.2,1.4,-1.4,0,2.6,-2.7,-0.1,1.7,-1.8,0,1.4
Dwight Howard,Los Angeles Lakers,C,1,0,36,2021,2641691,69,17.3,7,2.6,4.4,58.7,0.1,0.3,25,1.8,3,57.6,2.8,5.7,8.4,0.9,1.6,0.4,0.9,2.9,61,17.3,-1.5,1.2,-0.3,-3.9,-0.3,-4.2,-2.1,0.9,-1.2,0.9
Kent Bazemore,Los Angeles Lakers,SF,1,0,32,2021,2401537,67,19.9,7.2,2.6,5.9,44.9,1.1,2.7,40.8,0.8,1.2,69.2,0.4,3,3.4,1.6,1.2,1,0.5,2.4,56.4,15.9,-2.5,2,-0.5,0.7,4.8,5.5,-2,2.7,0.7,2.4
Malik Monk,Los Angeles Lakers,SG,1,0,23,2021,1789256,42,20.9,11.7,4.1,9.5,43.4,2,5,40.1,1.4,1.7,81.9,0.3,2.1,2.4,2.1,1.3,0.5,0.1,1.1,56.9,22.7,0.8,-2.5,-1.7,-0.4,1.4,1,0.6,-1.8,-1.2,0.7
